Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Modality_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Zero-Back Task,subject001,-5,9.6,9.9,1.5,1.1,9,8.8,6.1,6.2,8.8,8,2.2,5.1,1.4,6.5,0.092938575,-0.060981684,-0.3893953,1.155956943,0.881398667,-0.310842396,-1.729095916
Zero-Back Task,subject001,-6,8.4,6.8,1,5.6,4.4,9.3,6,6.3,9,9,8,7.8,6.3,3.5,0.092938575,-0.060981684,-0.3893953,0.541397563,1.53214454,-0.125065926,0.315202212
Zero-Back Task,subject002,-12,9,9.5,8.8,9.8,4,9,8.4,3,2.5,8.7,1.9,7.3,7,8.8,0.092938575,-0.060981684,-0.3893953,0.748360736,1.122704057,0.601508355,0.991322907
Zero-Back Task,subject002,-9,9.3,9.1,6.3,3.3,3.9,7.1,9,1,3.6,7.7,6.8,9,8,4,0.092938575,-0.060981684,-0.3893953,0.601714181,1.344272768,0.48308715,-0.736328025
Zero-Back Task,subject003,-10,8.1,1.7,5.6,1,1,6.1,2.7,2.5,4.8,1.8,7.7,6,6.6,1.7,0.092938575,-0.060981684,-0.3893953,-0.874828285,0.771501234,0.806358602,-0.39657792
Zero-Back Task,subject003,13,7.6,8.6,1,1,1,7.5,2.2,4.9,3.3,3.6,1,6.7,7.5,1,0.092938575,-0.060981684,-0.3893953,-0.424479285,0.769529645,-1.231313478,-0.783628408
Zero-Back Task,subject004,12,4.3,5.5,5.8,7.9,2.8,2.3,9.4,3.7,6.6,4.7,6.8,4.8,4.6,5,0.092938575,-0.060981684,-0.3893953,-0.226849481,0.594785188,0.896056242,0.601158599
Zero-Back Task,subject004,-10,6.8,7.2,8.4,5,5,5.7,6.6,3,1.7,6,7,6.9,3,7,0.092938575,-0.060981684,-0.3893953,0.140041728,0.98869393,0.881852928,-0.551281788
Zero-Back Task,subject005,7,6.4,2.7,10,3.4,1,3.5,2,2.2,4.1,5.5,1,4.3,7.9,7.2,0.092938575,-0.060981684,-0.3893953,-0.063218633,-0.304632944,1.333259339,-0.156441175
Zero-Back Task,subject005,-7,7.6,2.3,10,2.3,2.6,3.4,2.3,3.5,7,9.3,1,4.6,3.6,10,0.092938575,-0.060981684,-0.3893953,0.739689843,-0.616639228,2.133019665,-0.795035883
Zero-Back Task,subject006,8,1,1,3.2,5,2,3.6,8,1,2.9,1,1,4.6,4.4,4.4,0.092938575,-0.060981684,-0.3893953,-1.03211377,-0.440367397,-0.106342772,0.614421379
Zero-Back Task,subject006,-12,2.5,8.1,1,6,6.4,1.4,5.4,1,1,4,1,2.6,6.8,7.2,0.092938575,-0.060981684,-0.3893953,0.091755612,-0.368385533,-1.816594508,-0.040009905
Zero-Back Task,subject007,5,3.6,3,5,2,6.2,5.2,5.2,5.3,5.5,4.5,5.8,6.6,5.3,4.5,0.092938575,-0.060981684,-0.3893953,-0.077508403,0.678808671,0.284340606,-0.836493308
Zero-Back Task,subject007,14,6.3,8.1,7.3,1.1,5.3,6,6,3.5,3,3.7,7.8,4.7,6.5,6.3,0.092938575,-0.060981684,-0.3893953,-0.045066979,1.44388343,0.354006654,-1.619012477
Zero-Back Task,subject008,13,5,8.4,8,7.8,7.2,3.7,8.3,4.6,2.1,6.4,7.7,5.8,9.5,7.5,0.092938575,-0.060981684,-0.3893953,0.442651256,1.475947182,0.089824148,0.016104472
Zero-Back Task,subject008,-11,7.2,7.7,7,5,5,3.1,7.5,5.3,7.6,5.8,7.1,7.3,7.3,7.6,0.092938575,-0.060981684,-0.3893953,0.790988314,0.999320656,0.742084805,-0.397281244
Zero-Back Task,subject009,-10,8.4,1,5.3,1,2.9,1,1,9,1,2.6,1,3,1,1,0.092938575,-0.060981684,-0.3893953,-1.231865647,0.072398666,0.77991491,-1.202346164
Zero-Back Task,subject009,-12,3.1,1.2,4.1,1,1.4,8.1,3.8,7,5,1.9,2.5,4.1,1,1,0.092938575,-0.060981684,-0.3893953,-1.495641235,0.619690631,0.639765395,-0.69746758
Zero-Back Task,subject010,-7,5,7,9,7,4,4,2,9,2,5,2,8,2,3,0.092938575,-0.060981684,-0.3893953,-0.354693185,0.607781341,0.583057695,0.015761256
Zero-Back Task,subject010,7,8,10,7,6,10,3,8,9,6,9,2,10,6,4,0.092938575,-0.060981684,-0.3893953,1.39040442,1.01041013,0.20805871,-0.793558366
Zero-Back Task,subject011,9,4.5,10,5.3,8.6,3.9,3.4,2.1,3,6.2,8,3,7.1,1.1,5.1,0.092938575,-0.060981684,-0.3893953,0.585676225,-0.384686459,-0.034870848,0.536128113
Zero-Back Task,subject011,-7,7.5,6.5,2.7,4.7,3,1.9,5.3,5,3.9,6.8,7,6.8,1.3,6.8,0.092938575,-0.060981684,-0.3893953,0.241194851,0.35171732,0.23657673,-0.405391158
Zero-Back Task,subject012,9,9.9,1,1,1,1.7,1,1.3,1,9.7,10,6.2,9,2.1,2.6,0.092938575,-0.060981684,-0.3893953,0.772550449,-1.091089251,0.961204311,-0.443690981
Zero-Back Task,subject012,-10,9.4,1.2,1,2.5,1.6,1,1,1,7,9.6,1.6,10,5,7.4,0.092938575,-0.060981684,-0.3893953,1.182318637,-1.495277305,0.161650644,0.190613658
Zero-Back Task,subject013,-5,8.4,5.5,3.8,5,4,7,5,4.6,2.6,7.5,5.6,3.8,5.9,5.6,0.092938575,-0.060981684,-0.3893953,-0.096713235,1.103206016,0.091695376,-0.113028707
Zero-Back Task,subject013,11,7.4,7,6.1,5,2.8,7.2,4,3.3,3.6,7.4,8.4,4.5,8,4.2,0.092938575,-0.060981684,-0.3893953,-0.145927441,1.395708329,0.395038076,-0.147145121
Zero-Back Task,subject014,-15,8.2,8.6,6.7,9.4,7.2,7.9,3.4,9.1,2,5,7.9,2.3,6.2,2.4,0.092938575,-0.060981684,-0.3893953,-0.616593906,2.289411876,-0.117329272,0.483366992
Zero-Back Task,subject014,14,7.7,8,2.5,8.5,5.8,7,7,2,5.2,6.9,6.8,7.7,6.3,3.6,0.092938575,-0.060981684,-0.3893953,0.450683279,0.937937571,-0.541889831,0.97299924
Zero-Back Task,subject015,-5,4,5.8,1,10,1,5.6,5.4,2.6,6.9,1,1,5,5.4,1.4,0.092938575,-0.060981684,-0.3893953,-0.823343689,-0.067234127,-0.920322295,2.135960987
Zero-Back Task,subject015,11,8.9,5.4,1,10,5,8.7,9,8,1,1.8,5.1,5.7,6.3,2.6,0.092938575,-0.060981684,-0.3893953,-0.913864566,2.031767741,-0.9765776,1.615798549
Zero-Back Task,subject016,-8,4.6,2,1.1,8.4,2,5.4,4.7,8.2,8.6,8.2,1.1,3.1,3,7.3,0.092938575,-0.060981684,-0.3893953,-0.069091255,-0.020879343,0.254456677,1.318253843
Zero-Back Task,subject016,7,7.5,1.8,1,9.3,1.2,6.8,8.4,4.5,9.1,2.7,9,2.3,9,9.1,0.092938575,-0.060981684,-0.3893953,-0.385539308,1.244960098,0.143418476,2.116814241
Zero-Back Task,subject017,11,4,7.7,3,2,8,7,4.5,6,6.6,5,3.6,6.8,5.7,8,0.092938575,-0.060981684,-0.3893953,0.739256379,0.761196885,-0.840590305,-1.101883646
Zero-Back Task,subject017,-11,7.1,7.5,3.1,2,8.2,7.6,4.5,5.6,4,6.4,3,7,8.2,7,0.092938575,-0.060981684,-0.3893953,0.805866053,1.033438733,-0.949439208,-1.052263626
Zero-Back Task,subject018,8,7,2.5,4,8,7.5,4,2.5,3,7,4,3.5,8,3,2,0.092938575,-0.060981684,-0.3893953,0.191820086,-0.399631267,-0.014669874,1.248557011
Zero-Back Task,subject018,6,4,3,3,9,8,6,3,2,5,6,2.5,8.8,3,8,0.092938575,-0.060981684,-0.3893953,0.69760827,-0.576271758,-0.676921001,1.527350931
Zero-Back Task,subject019,13,4.6,4.6,1,9,1,2.1,7.9,3.6,8.6,4.8,1.5,8,6.2,10,0.092938575,-0.060981684,-0.3893953,0.630106349,-0.529191575,-0.364374769,1.775083311
Zero-Back Task,subject019,14,5.9,1,4,9.7,1,6.9,10,4.5,7.4,7.1,5.2,8.1,10,1,0.092938575,-0.060981684,-0.3893953,-0.373891631,1.015248478,0.793773321,2.15505102
Zero-Back Task,subject020,-13,8,7.8,7.1,3.5,5.2,7,3.5,4.1,5.7,8.2,4.8,3.7,3.4,2.8,0.092938575,-0.060981684,-0.3893953,0.125852125,0.844886599,0.882378536,-0.98594458
Zero-Back Task,subject020,13,8,6.8,7.8,2.7,7.8,2.9,3.9,2,7.6,7.7,7.3,2.9,6.6,2.4,0.092938575,-0.060981684,-0.3893953,0.533354569,0.534364294,0.994991898,-1.2991035
Zero-Back Task,subject021,9,8,6.8,7.9,3.6,4.3,7.9,7.4,9,4,6.6,7.5,4.1,7.5,3.9,0.092938575,-0.060981684,-0.3893953,-0.331323022,2.389573027,1.064356396,-0.990997614
Zero-Back Task,subject021,13,9,4.9,6.7,6,4.4,8.8,7.4,3.8,3.9,3.7,6.5,5.1,7.1,3.2,0.092938575,-0.060981684,-0.3893953,-0.465406308,1.618423331,0.66898757,0.403210722
Zero-Back Task,subject022,-12,6.5,5.7,1.1,3.4,10,4.4,2.9,2.2,3.5,10,4,3,10,7.2,0.092938575,-0.060981684,-0.3893953,1.056876383,0.225654895,-1.32302572,-0.728747229
Zero-Back Task,subject022,6,8.2,2.7,6.7,4.3,2.5,4.4,3.1,6.2,2.8,4.9,5.1,8,10,10,0.092938575,-0.060981684,-0.3893953,0.308958813,0.78944144,0.377468167,0.236509215
Zero-Back Task,subject023,14,2.9,6.6,1,1.7,6.1,4,1.1,1.9,5.4,3.3,3.5,8.6,6.5,5.8,0.092938575,-0.060981684,-0.3893953,0.538495364,-0.346107933,-1.610655998,-0.620427985
Zero-Back Task,subject023,9,1.7,6.7,3,3.8,5,4.6,2.9,7.2,1.4,3.7,1,1,7.9,3.2,0.092938575,-0.060981684,-0.3893953,-0.84527945,0.756149249,-1.250552426,-0.695083377
Zero-Back Task,subject024,14,8,9,2.2,5.3,2.8,9.1,1.6,6,1.9,2.3,2.5,2.5,10,8.7,0.092938575,-0.060981684,-0.3893953,-0.279844513,1.374289462,-1.612471931,0.301992606
Zero-Back Task,subject024,6,9.5,7.5,1,8.6,2.3,10,1.3,2.1,1.8,1.4,6.4,5,7,1.2,0.092938575,-0.060981684,-0.3893953,-0.941787014,1.242895922,-1.465920517,1.681417965
Zero-Back Task,subject025,5,8.3,7.1,7,3.7,3.6,8,3.5,2.3,6.9,6.6,2.9,7,3.1,3,0.092938575,-0.060981684,-0.3893953,0.271858584,0.34783315,0.868617856,-0.369987933
Zero-Back Task,subject025,-9,8,4.8,2,4.4,7,7.3,1,6.2,3.5,6.8,3.8,7.3,7.1,6.9,0.092938575,-0.060981684,-0.3893953,0.572671273,0.677672236,-1.004034144,0.045940972
Zero-Back Task,subject026,8,2.4,5.2,5.8,10,7.2,4.8,8.2,1,8.4,2.8,3,8,6,3.4,0.092938575,-0.060981684,-0.3893953,0.268588968,-0.079284555,-0.054097811,1.625009967
Zero-Back Task,subject026,7,5,7.2,5,8.2,6,6.8,7,1,9,8,3.8,9,9,4,0.092938575,-0.060981684,-0.3893953,0.996363132,0.32097339,-0.094322825,1.0756078
Zero-Back Task,subject027,10,6,7.8,8.9,10,1.8,1,1,6.6,9.1,10,7,5,6,7.6,0.092938575,-0.060981684,-0.3893953,0.729298333,0.244599116,1.302165006,0.91594939
Zero-Back Task,subject027,-9,8,1,8.6,10,3.4,7.4,9,1.8,9.1,10,5,5.1,1.6,8.9,0.092938575,-0.060981684,-0.3893953,0.52318107,0.127603829,2.562363088,1.622301568
Zero-Back Task,subject028,9,4,2.1,6.5,1,3.2,1,8,2.2,2.8,1,3.1,7.5,1.9,7.9,0.092938575,-0.060981684,-0.3893953,-0.26459523,-0.362830143,0.895340271,-1.010401112
Zero-Back Task,subject028,-15,7,9.4,4.2,7,5,7.6,2.9,3.7,4,2.7,5,8.1,8,8.1,0.092938575,-0.060981684,-0.3893953,0.451282492,0.957022292,-1.144504311,0.708170748
Zero-Back Task,subject029,9,9,1.1,9,3,1.2,1.1,1.3,3,4,5,1.3,9,6.1,7.8,0.092938575,-0.060981684,-0.3893953,0.393160716,-0.757875004,1.372507681,0.002241915
